county,facility_name,wrp_permit,note
Hall,GAINESVILLE LINWOOD WRF,GA0020168,
Hall,HALL COUNTY SPOUT SPRINGS,GA0050214,
Hall,FLOWERY BRANCH WPCP,GA0031933,
Hall,LULA WRF,GA0039039,
Hall,LULA FACULTATIVE POND,GA0039039,pond stage at the Lula site; shares the permit
Henry,HENRY COUNTY WALNUT CREEK,GAJ020137,land application permit; GA0050316 is the NPDES outfall at the same site
Henry,HENRY COUNTY INDIAN CREEK,GA0050241,
Henry,MCDONOUGH WALNUT CREEK WPCP,GA0023949,City of McDonough plant; distinct from the county Walnut Creek plant
Henry,LOCUST GROVE INDIAN CREEK WPCP,GA0038849,City of Locust Grove plant; distinct from the county Indian Creek plant
Henry,STOCKBRIDGE WPCP,GA0023337,WRP calls it Stephen D. Peurifoy WPCP
Henry,HAMPTON WPCP,GA0020320,WRP calls it Bear Creek WPCP under the City of Hampton
Henry,HENRY COUNTY BEAR CREEK,GAJ020095,Henry County Water Authority plant; distinct from the City of Hampton plant
Paulding,Paulding Pumpkinvine WRF,GA0039021,
Paulding,Dallas Pumpkinvine Ck WPCP,GA0039241,City of Dallas plant; distinct from the county Pumpkinvine plant
Paulding,Paulding Coppermine LAS,GA0038865,
Paulding,Paulding Coppermine WRF,GA0038865,same site as the Coppermine LAS entry
Paulding,Paulding Pumpkinvine LAS,GA0039021,same site as the Pumpkinvine WRF entry
Paulding,Paulding Upper Sweetwater,GA0038890,
Rockdale,ROCKDALE QUIGG BRANCH,GA0047678,
Rockdale,ROCKDALE ALMAND BRANCH,GA0021610,
Rockdale,ROCKDALE SNAPPING SHOALS,GA0050258,
Rockdale,ROCKDALE HONEY CREEK,GA0022659,
Rockdale,ROCKDALE SCOTT CREEK,GA0026239,
